Devices,T1,T2,T3,T4,T5,TAv,SD,DB Size
0,1.014479,0.935781,0.939427,1.013802,0.937552,0.9682082,0.04195075954,3
10,2.001718,1.822865,1.821511,1.924739,1.872865,1.8887396,0.07611048905,912
20,2.686823,2.780105,3.641459,3.591719,3.557552,3.2515316,0.4750153081,1822
30,3.691562,3.435261,3.598646,4.75599,4.554323,4.0071564,0.6028449157,2732
40,4.279948,5.59026,5.34901,4.262656,5.421042,4.9805832,0.6534059247,3642
50,5.525833,5.455781,5.300313,5.321146,5.278854,5.3763854,0.1083847565,4552
60,6.13625,6.086875,6.023906,6.070521,6.097656,6.0830416,0.04096704189,5462
70,6.871511,6.846354,6.803438,6.832917,6.822188,6.8352816,0.0256233098,6372
80,7.749948,7.660104,7.560573,7.739792,7.64401,7.6708854,0.0774699386,7282
90,8.934583,8.59026,8.748698,8.687084,8.706927,8.7335104,0.1265342034,8192
100,9.70052,9.469271,9.453854,9.391094,10.87375,9.7776978,0.6238491873,9102
